ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF072EDU.dedup	mean_meth	mean_meth
NA	NA	NA	NA
NA	NA	NA	NA
0.780702	0.517857	0.517857	0.517857
0.500000	0.000000	0.000000	0.000000
0.814480	0.631818	0.626126	0.623894
0.708029	0.434783	0.436620	0.433566
0.736000	0.601626	0.590551	0.604478
0.800000	0.573333	0.573333	0.573333
0.582418	0.027624	0.027624	0.027624
0.476596	0.030043	0.030043	0.030043
0.836634	0.641791	0.642157	0.648515
0.780488	0.524590	0.515625	0.515625
0.781955	0.566929	0.570312	0.570312
0.900000	0.712500	0.703704	0.703704
0.630000	0.212121	0.212121	0.212121
0.770335	0.490291	0.512605	0.512821
0.604478	0.313433	0.311111	0.315789
0.755396	0.489051	0.482517	0.492647
0.617647	0.141176	0.139535	0.140351
0.600000	0.237113	0.234375	0.230366
0.580645	0.254902	0.250000	0.250000
0.471939	0.038560	0.038462	0.038462
0.687500	0.430556	0.427586	0.432624
0.619565	0.422222	0.419355	0.419355
0.769634	0.575916	0.552239	0.578680
0.906977	0.858824	0.827957	0.827957
0.883495	0.792079	0.773585	0.773585
0.627329	0.259494	0.259494	0.261438
0.709184	0.494898	0.497537	0.505000
0.875000	0.778846	0.778846	0.766990
0.961039	0.899123	0.886555	0.887029
0.566265	0.257669	0.262500	0.262500
0.563380	0.231132	0.220096	0.220096
0.647321	0.194570	0.190476	0.190476
0.536082	0.229167	0.226804	0.226804
0.473214	0.214286	0.214286	0.209524
0.540230	0.229885	0.239130	0.239130
0.645833	0.263158	0.278846	0.284314
0.604478	0.330827	0.328358	0.333333
0.794118	0.432836	0.426471	0.426471
0.639175	0.300518	0.304124	0.320856
0.600000	0.182927	0.180723	0.187500
0.586957	0.065217	0.065217	0.063830
0.510638	0.133333	0.130435	0.133333
0.706667	0.216216	0.216216	0.216216
0.738854	0.551282	0.529070	0.526316
0.666667	0.320755	0.323810	0.314286
0.500000	0.000000	0.000000	0.000000
0.714286	0.350427	0.341667	0.341667
0.564706	0.082353	0.082353	0.084337
0.598540	0.161765	0.161765	0.167883
0.648649	0.418182	0.415929	0.415929
0.527027	0.040000	0.040000	0.040541
0.684564	0.404110	0.408163	0.424658
0.619048	0.307692	0.302752	0.302752
0.948718	0.937173	0.933333	0.933333
0.458472	0.046667	0.046358	0.046358
0.821192	0.611842	0.611842	0.611842
0.675214	0.110169	0.108333	0.108333
0.836066	0.600000	0.596774	0.596774
0.754545	0.370370	0.380531	0.380531
0.766355	0.495413	0.490909	0.490909
0.899408	0.730539	0.727811	0.734104
0.615741	0.172093	0.172566	0.165179
0.575221	0.276786	0.271930	0.271930
0.654450	0.298429	0.278049	0.274510
0.960526	0.866667	0.855422	0.855422
0.587302	0.211640	0.209424	0.203125
0.595506	0.170455	0.175141	0.166667
0.610169	0.051282	0.051282	0.050420
