ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF790EEU.dedup	mean_meth	mean_meth
0.611111	0.611111	0.619808	0.623853
0.578740	0.579882	0.582661	0.565891
0.557592	0.557592	0.554017	0.555858
0.175074	0.173529	0.176119	0.176119
0.384615	0.377193	0.381818	0.376000
0.586466	0.586466	0.582353	0.581081
0.200000	0.200935	0.200000	0.198198
0.000000	0.000000	0.000000	0.000000
0.543554	0.543554	0.525926	0.529630
0.123116	0.124051	0.123360	0.125320
0.534954	0.530675	0.546075	0.531148
0.495177	0.495177	0.506849	0.503425
0.676216	0.675784	0.693013	0.692308
0.931832	0.931790	0.933981	0.933586
0.564444	0.565996	0.550725	0.559735
0.512671	0.512671	0.498896	0.506522
0.639586	0.639586	0.646032	0.647239
0.920578	0.919708	0.927481	0.927536
0.510204	0.510204	0.515556	0.519149
0.771795	0.772494	0.774238	0.772544
0.157658	0.156682	0.129353	0.133971
0.377005	0.375676	0.372493	0.370166
0.171717	0.172131	0.161426	0.171843
0.242347	0.240360	0.237968	0.233681
0.494845	0.494824	0.484144	0.477459
0.444714	0.446886	0.461538	0.456693
0.598071	0.601942	0.598007	0.599349
0.568862	0.568862	0.568862	0.565476
0.383701	0.383701	0.378623	0.391071
0.952381	0.954545	0.957393	0.958231
0.885947	0.885947	0.887029	0.889535
0.120235	0.120944	0.118243	0.108359
0.662319	0.660844	0.664671	0.666170
0.949224	0.949153	0.949329	0.949480
0.961792	0.964191	0.961003	0.958960
0.421875	0.423767	0.407494	0.425581
0.351504	0.351504	0.361446	0.345029
0.446677	0.447900	0.441130	0.437596
0.156627	0.157895	0.162281	0.166667
0.346821	0.343023	0.343750	0.329268
0.311828	0.311828	0.323194	0.333333
0.180995	0.177273	0.177570	0.175926
0.213166	0.210692	0.212838	0.209302
0.299517	0.296117	0.296482	0.285024
0.252616	0.255605	0.257504	0.275915
0.111111	0.111111	0.111111	0.119149
0.020305	0.020513	0.020942	0.020619
0.039877	0.040000	0.029508	0.027864
0.530992	0.531120	0.533040	0.547771
0.412371	0.412371	0.415584	0.409877
0.224576	0.225532	0.211454	0.213389
0.000000	0.000000	0.000000	0.000000
0.339623	0.337539	0.343333	0.333333
0.025926	0.025926	0.023166	0.025830
0.225989	0.227666	0.238994	0.235294
0.169173	0.166038	0.156863	0.160305
0.019231	0.019231	0.020690	0.013514
0.197500	0.195489	0.200000	0.195980
0.144737	0.144737	0.144781	0.143791
0.949002	0.949772	0.960591	0.961165
0.098990	0.098778	0.096740	0.096373
